Name,first,affiliation,occupation,epithet,status,age,bounty,residence,dfname,last_bounty,latest_age,main_crew
Master,Chapter 233; Episode 145[1],,Digger[1],,Alive,,,,,,,
Jaygarcia Saturn,Chapter 233; Episode 151[1],Five Elders;[1] World Nobles[2],"Head of the World Government;[1]Warrior God of Science and Defense (科学防衛武神, Kagaku Bōei Bushin?, VIZ: ""Godhead of Science & Defense"")[3]",,Alive,,,Mary Geoise[1],,,,Five Elders
Marcus Mars,Chapter 233; Episode 151[1],Five Elders;[1] World Nobles[2],"Head of the World Government;[1]Warrior God of Environment (環境武神, Kankyō Bushin?, VIZ: ""Godhead of Environment"")[3]",,Alive,,,Mary Geoise[1],,,,Five Elders
Topman Warcury,Chapter 233; Episode 151[1],Five Elders;[1] World Nobles[2],"Head of the World Government;[1]Warrior God of Justice (法務武神, Hōmu Bushin?, VIZ: ""Godhead of Justice"")[3]",,Alive,,,Mary Geoise[1],,,,Five Elders
Ethanbaron V. Nusjuro,Chapter 233; Episode 151[1],Five Elders;[1] World Nobles[2],"Head of the World Government;[1]Warrior God of Finance (財務武神, Zaimu Bushin?, VIZ: ""Godhead of Finance"")[3]",,Alive,,,Mary Geoise[1],,,,Five Elders
Shepherd Ju Peter,Chapter 233; Episode 151[1],Five Elders;[1] World Nobles[2],"Head of the World Government;[1]Warrior God of Agriculture (農務武神, Nōmu Bushin?, VIZ: ""Godhead of Agriculture"")[3]",,Alive,,,Mary Geoise[1],,,,Five Elders
Marco,Chapter 234; Episode 151[1],Whitebeard Pirates (former);[2] Ninja-Pirate-Mink-Samurai Alliance(disbanded),1st Division Commander (former);[2] Doctor;[3] Apprentice (former)[4],"""Marco the Phoenix"" (不死鳥マルコ, Fushichō Maruko?)[5]",Alive,43 (debut)45 (after timeskip)[6],"1,374,000,000[6]",Sphinx,"Tori Tori no Mi, Model: Phoenix",1374000000.0,45,Whitebeard Pirates  
Jozu,Chapter 234; Episode 151[1],Whitebeard Pirates[2],Pirate; 3rd Division Commander[2],"""Diamond"" Jozu (ダイヤモンド・ジョズ, Daiyamondo Jozu?)[3]",Alive,40 (debut)42 (after timeskip)[4],Unknown[6],,Kira Kira no Mi,,42,Whitebeard Pirates 
Tate,Chapter 234; Episode 151[1],Whitebeard Pirates[1],Nurse[1],,Alive,,,,,,,Whitebeard Pirates 
Rockstar,Chapter 234; Episode 151[1],Red Hair Pirates[1],Pirate[1],,Alive,,"94,000,000[1]",,,94000000.0,,Red Hair Pirates 
Sengoku,Chapter 234; Episode 151[1],Marines[2] (semi-retired)[3],Inspector General;[4] Fleet Admiral[2] (former);[5] Admiral (former)[6],"""Sengoku the Buddha"" (仏のセンゴク, Hotoke no Sengoku?, Funimation subs [151]: ""Saint Sengoku"");[2]""The Resourceful General"" (智将, Chishō?)[8]",Alive,77 (debut)79 (after timeskip)[9],,,"Hito Hito no Mi, Model: Daibutsu",,79,Marines    
Tsuru,Chapter 234; Episode 151[1],Marines[1],Vice Admiral[1],"""Great Staff Officer"" (大参謀, Dai-Sanbō?, Viz: ""Great Advisor"")",Alive,74 (debut)76 (after timeskip)[3],,,Woshu Woshu no Mi,,76,Marines 
Mozambia,Chapter 234; Episode 151[1],Marines[1],Vice Admiral[1],,Alive,,,,,,,Marines 
Wyper,Chapter 237; Episode 153[3],Shandia; God's Guards[4],Shandia Warrior; God's Guard[4],"""Berserker"" (戦鬼, Senki?)[6]",Alive,22 (debut)24 (after timeskip)[5],,,,,24,Shandia
Gan Fall,Chapter 237; Episode 153[1],Skypiea,God of Skypiea; Mercenary (former)[2],"""Knight of the Sky"" (空の騎士, Sora no Kishi?, VIZ and Funimation: Sky Knight, 4Kids: Sky Lord)[1]",Alive,66 (debut);68 (after timeskip)[4],,,,,68,Skypiea
Pierre,Chapter 237; Episode 153[1],Gan Fall,Gan Fall's pet,,Alive,,,,Uma Uma no Mi,,,Gan Fall
Amazon,Chapter 238; Episode 153[1],Wagomuland[2],Gatekeeper of Skypiea (former);[1] Ticket Saleswoman[2],,Alive,77 (debut)79 (after timeskip)[3],,Skypiea[1],,,79,Wagomuland 
Conis,Chapter 239; Episode 154[1],Pumpkin Cafe,Waitress,,Alive,19 (debut)21 (after timeskip)[3],,,,,21,Pumpkin Cafe
Pagaya,Chapter 239; Episode 154[1],,Engineer[2],,Alive,52 (debut)54 (after timeskip)[2],,,,,54,
Su,Chapter 239; Episode 154[1],Skypiea,Pet,,Alive,,,,,,,Skypiea
McKinley,Chapter 241; Episode 155[1],White Berets[1],Law enforcement official[1],,Alive,,,,,,,White Berets 
Enel,Chapter 254; Episode 167[1],God's Army[1] (former); Automata,God of Skypiea[1] (former),"""God Enel"" (神・エネル, Goddo Eneru?)[3]",Alive,37 (debut)39 (after timeskip)[2],,MoonUpper Yard (former); Birka (former),Goro Goro no Mi,,39,God's Army   
Ohm,Chapter 241; Episode 155[1],God's Army (former),Priest of Enel[2] (former),"Skybreeder (スカイブリーダー, Sukaiburīdā),[2]",Unknown,27 (debut)29 (after timeskip)[4],,,,,29,God's Army  
Shura,Chapter 241; Episode 155[1],God's Army[1][2],Priest of Enel[1][2],"""Sky Rider"" (スカイライダー, Sukai Raidā?)[2]",Unknown,31 (debut)33 (after timeskip)[3],,,,,33,God's Army  
Gedatsu,Chapter 241; Episode 155[1],Ukkari Hot-Spring Island; God's Army (former),"Priest of Enel[2] (former), Head Clerk of Hot Springs Resort","Sky Boss (空番長, Sora Banchō?)Sky Punk (4Kids, FUNimation)",Alive,29 (debut)31 (after timeskip)[3],,Ukkari Hot-Spring IslandSkypiea (former)Birka (former),,,31,Ukkari Hot-Spring Island
Satori,Chapter 241; Episode 155[1],God's Army[1],Priest of Enel[1],"""Satori of the Forest"" (森のサトリ, Mori no Satori?)[2]",Unknown,25 (debut)27 (after timeskip)[4],,,,,27,God's Army 
Holy,Chapter 241; Episode 155[1],God's Army[1],Pet[1],,Alive,,,,,,,God's Army 
Fuza,Chapter 241; Episode 155[1],God's Army[1],Battle Pet,,Alive,,,,,,,God's Army 
Zabo,Chapter 241; Episode 155[1],,,,Deceased,,,,,,,
Hakowan,Chapter 245; Episode 778[2],Wapol; Black Drum Kingdom,Pet,,Alive,,,,,,,Wapol
Kamakiri,Chapter 249; Episode 163[1],Shandia; God's Guards[2],Shandia Warrior; God's Guard[2],,Alive,22 (debut)24 (after timeskip)[3],,,,,24,Shandia
Braham,Chapter 249; Episode 163[1],Shandia; God's Guards[2],Shandia Warrior; God's Guard[2],,Alive,22 (debut)24 (after timeskip)[3],,,,,24,Shandia
Genbo,Chapter 249; Episode 163,Shandia; God's Guards[1],Shandia Warrior; God's Guard[1],,Alive,23 (debut)25 (after timeskip)[2],,,,,25,Shandia
Raki,Chapter 249; Episode 163[1],Shandia; Pumpkin Cafe,Shandia Warrior; Cook,,Alive,20 (debut)22 (after timeskip)[2],,,,,22,Shandia
Aisa,Chapter 249;[1] Episode 161[2],Shandia[1]; Wagomuland[3],,,Alive,9 (debut)11 (after timeskip)[4],,,,,11,Shandia 
Yama,Chapter 254; Episode 167[1],Enel (former),Commander of the Divine Soldiers[2] (former),,Unknown,43 (debut)45 (after timeskip)[3],,,,,45,Enel  
Nola,Chapter 255; Episode 168[1],Shandia; Wagomuland,,"""Master of the Sky"" (空の主, Sora no Nushi?)[2]",Alive,Over 400,,,,,400,Shandia
Isa,Chapter 256; Episode 168[1],Shandia[1],,,Alive,,,,,,,Shandia 
Gode,"Chapter 256, Episode 169",Enel; Birkans,Clergyman[1],"Sage (賢者, Kenja?, WT100: ""the Wise"")[1]",Unknown,,,,,,,Enel
Kinderella,Chapter 261; Episode 778[1],Evil Black Drum Kingdom[2],Miss Universe; Queen,"""Miss Universe"" (ミス・ユニバース, Misu Yunibāsu?)",Alive,,,,,,,Evil Black Drum Kingdom 
Hotori and Kotori,Chapter 261; Episode 171[1],God's Army,Lieutenants of the Divine Soldiers,,Alive,25 (debut)27 (after timeskip)[2],,,,,27,God's Army
Moyle,Chapter 272; Episode 178[2],Divine Squad[3],Member of the Divine Squad; Slave[3],,Unknown,,,Upper Yard; Angel Island (former),,,,Divine Squad 
Mochi,"Chapter 274, Episode 180",Angel Island,Child,,Alive,,,,,,,Angel Island
Shandia Chief,Chapter 275; Episode 168[1],Shandia,Chief of Shandia,,Alive,63 (debut)65 (after timeskip)[2],,,,,65,Shandia
Kurotsuru,Chapter 276's cover[1],,Doctor,,Unknown,,,,,,,
Moda,"Chapter 278 (cover); Episode 381 (newspaper)[1], Episode 880",Revolutionary Army[2]; G-2 Base[3],Farmer,,Alive,,,Lulusia Kingdom[4] (former),,,,Revolutionary Army 
Koda,"Chapter 285 cover[1], Episode 381 (newspaper)[2]",Marines[1],Chef,,Alive,,,,,,,Marines 
Kalgara,Chapter 286; Episode 187[1],Shandia[1],Warrior[1],"""Shandora's Demon"" (シャンドラの魔物, Shandora no Mamono?)[3]",Deceased,,,,,,,Shandia 
Seto,Chapter 287; Episode 187[1],Shandia,,,Deceased,,,,,,,Shandia
Mousse,Chapter 287; Episode 187[1],Shandia,Shandia Villager,,Deceased,,,,,,,Shandia
Herb,"Chapter 287, Episode 187[1]",Shandia[1],,,Deceased,,,,,,,Shandia 
Chiya,Chapter 287; Episode 187[1],Shandia,Pantri,,Deceased,,,,,,,Shandia
Kashigami,Chapter 287; Episode 187[1],Shandia,,"""God of the Sun"" (太陽の神, Taiyō no Kami?)""God of the Rain"" (雨の神, Ame no Kami?)""God of the Forest"" (森の神, Mori no Kami?)""God of the Earth"" (大地の神, Daichi no Kami?)",Deceased,,,,,,,Shandia
Honner,"Chapter 287, Episode 187[1]",,Ship's Doctor[1],,Deceased,,,,,,,
Coburn,Chapter 288; Episode 187[1],Shandia,Chief of Shandia,,Deceased,,,,,,,Shandia
Kashigami,Chapter 287; Episode 187[1],Shandia,,"""God of the Sun"" (太陽の神, Taiyō no Kami?)""God of the Rain"" (雨の神, Ame no Kami?)""God of the Forest"" (森の神, Mori no Kami?)""God of the Earth"" (大地の神, Daichi no Kami?)",Deceased,,,,,,,Shandia
Comil,Chapter 289 (cover);[2] Episode 421[3],Marines; G-2,Vice Admiral,,Alive,,,,,,,Marines
Ubau,Chapter 292; Episode 189[1],,God of Skypiea,,Deceased,,,,,,,
Aruyutayan V,Chapter 292; Episode 189[1],Lvneel Kingdom[1],King[1],,Deceased,,,,,,,Lvneel Kingdom 
Utan Divers,Chapter 226; Episode 147 [1],Shoujou Pirates (Saruyama Alliance)[1],Pirates[1],,Alive,,,,,,,Shoujou Pirates   
Marilyn,Chapter 300; Episode 193[1],Neutral civilian,Miss Skypiea (former),,Alive,,,,,,,Neutral civilian
Koda,"Chapter 285 cover[1], Episode 381 (newspaper)[2]",Marines[1],Chef,,Alive,,,,,,,Marines 
Kyuji,"Chapter 302 cover[1], Episode 381 (newspaper)[2]",Marines[1],Chef[1],,Alive,,,,,,,Marines 
Kuzan,Chapter 303; Episode 225[1],Blackbeard Pirates;[2][3] Marines[1] (resigned)[4],Pirate;[3] Titanic Captain (Captain of the Tenth Ship);[5] Admiral[1] (former);[4] Vice Admiral (former)[6],,Alive,47 (debut)49 (after timeskip)[8],,,Hie Hie no Mi,,49,Blackbeard Pirates
Shelly,Chapter 304; Episode 207[1],Nomads,Pet,,Alive,,,,,,,Nomads
Tonjit,Chapter 304; Episode 207[1],Nomads,"Nomad, Stilt walker",,Alive,61 (debut)63 (after timeskip)[2],,,,,63,Nomads
Foxy,Chapter 305; Episode 207[1],Foxy Pirates[1],Pirate; Captain[1],"""Silver Fox"" (銀ギツネ, Gin-gitsune?)",Alive,36 (debut)38 (after timeskip)[3],"24,000,000[1]",,Noro Noro no Mi,24000000.0,38,Foxy Pirates 
Porche,Chapter 305; Episode 207[1],Foxy Pirates[1],Pirate; Combatant[2],,Alive,,,,,,,Foxy Pirates 
Hamburg,Chapter 305; Episode 207[1],Foxy Pirates; Groggy Monsters,Pirate; Combatant[2],"""Four-Footed Dash Freak"" (四足ダッシュの奇人, Yonsoku Dasshu no Kijin?)[3]",Alive,,,,,,,Foxy Pirates
Kibagaeru,Chapter 306; Episode 208,Foxy Pirates; Fanged Toad Pirates (former),Pirate; Captain (former),,Alive,,,,,,,Foxy Pirates
Itomimizu,Chapter 306; Episode 209,Foxy Pirates,Pirate; Announcer,,Alive,,,,,,,Foxy Pirates
Chuchun,Chapter 306; Episode 209,Foxy Pirates,Pirate; Mount; Pet,,Alive,,,,,,,Foxy Pirates
Capote,Chapter 306; Episode 209,Foxy Pirates,Pirate; Combatant[1],,Alive,,,,,,,Foxy Pirates
Monda,Chapter 306; Episode 209[1],Foxy Pirates[1],Pet,,Alive,,,,,,,Foxy Pirates 
Capote,Chapter 306; Episode 209,Foxy Pirates,Pirate; Combatant[1],,Alive,,,,,,,Foxy Pirates
Pickles,Chapter 309; Episode 210[1],Foxy Pirates; Groggy Monsters[1],Pirate; Combatant[2],"""Tackle Machine"" (タックルマシーン, Takkuru Mashīn?)[1]",Alive,,,,,,,Foxy Pirates
Big Pan,Chapter 309; Episode 210[1],Foxy Pirates; Groggy Monsters[1],Pirate; Combatant[2],"Big Pan ""the Wotan"" (ウォータンのビッグパン, Wōtan no Biggu Pan?)",Alive,,,,,,,Foxy Pirates
Goro,Chapter 316 (cover); One Piece: Stampede,Ukkari Hot-Spring Island,Onsen manager,,Alive,,,Ukkari Hot-Spring Island; Arabasta (former),,,,Ukkari Hot-Spring Island
Sonieh,Chapter 318[1],Foxy Pirates[1],Pirate; Shipwright[1],,Alive,,,,,,,Foxy Pirates 
Donovan,Chapter 318[1],Foxy Pirates[1],Pirate; Shipwright[1],,Alive,,,,,,,Foxy Pirates 
Gina,Chapter 318; Episode 215[1],Foxy Pirates[1],Shipwright[2],,Alive,,,,,,,Foxy Pirates 
Borsalino,Chapter 504; Episode 398[1],Marines[2],Admiral;[2] Vice Admiral (former)[3],,Alive,56 (debut)58 (after timeskip)[5],"(3,000,000,000)[7]",,Pika Pika no Mi,3000000000.0,58,Marines 
Sakazuki,Chapter 397; Episode 278[1],Marines[1],Fleet Admiral;[2] Admiral[3] (former); Vice Admiral (former)[1],,Alive,53 (debut);55 (after timeskip)[5],,,Magu Magu no Mi,,55,Marines 
Master of the Waters,Chapter 319; Episode 227[1],None,Sea King,,Unknown,,,,,,,None
Kokoro,Chapter 322; Episode 229[1],Tom's Workers[2],"Stationmaster;[1] ""Lovely"" secretary of Tom (former)[2]",,Alive,70 (debut)72 (after timeskip)[3],,Water 7; Fish-Man Island (former),,,72,Tom's Workers 
Chimney,Chapter 322; Episode 229[1],Kokoro[1],Sunday stationmaster of the Shift Station[2],,Alive,8 (debut)10 (after timeskip)[3],,Water 7 (Shift Station)[1],,,10,Kokoro 
Gonbe,Chapter 322; Episode 229[1],Chimney,,,Alive,,,Water 7,,,,Chimney
Yokozuna,Chapter 322; Episode 228[1],Tom's Workers (former),,,Alive,,,Water 7,,,,Tom's Workers  
Mikazuki,Chapter 323; Episode 230[1],Big Helmet Pirates,Pirate Captain,,Alive,,"36,000,000",,,36000000.0,,Big Helmet Pirates
Iceburg,Chapter 323; Episode 230[1],Galley-La Company; Water 7;[2][3] Tom's Workers (former),President of the Galley-La Company; Mayor of Water 7[2][3],,Alive,38 (debut)40 (after timeskip)[4],,Water 7,,,40,Galley-La Company
Kalifa,Chapter 323; Episode 230[1],CP0;[2] CP9[3] (former); Galley-La Company[4] (former)[5],"Cipher Pol Agent;[5] Secretary[4] (cover, former)[5]",,Alive,25 (debut)[6]27 (after timeskip)[7],,,Awa Awa no Mi,,27,CP0
Tyrannosaurus,Chapter 323; Episode 230[1],Iceburg[2],Iceburg's pet[2],,Alive,,,Water 7,,,,Iceburg 
Rob Lucci,Chapter 323; Episode 230[2],CP0;[3] CP9[4] (former); Galley-La Company[2][1] (former)[4],Cipher Pol Agent;[4] Shipwright[2][1] (undercover)[4],"""Massacre Weapon"" (殺戮兵器, Satsuriku Heiki?)[5]",Alive,28 (debut)[6]30 (after timeskip)[7],,Guanhao (former)[5],"Neko Neko no Mi, Model: Leopard",,30,CP0
Hattori,Chapter 323; Episode 230[1],CP0; CP9[2] (former); Galley-La[1] (former)[2],Rob Lucci's Pet[3],,Alive,,,,,,,CP0
Kaku,Chapter 323; Episode 230[1],CP0;[2] CP9 (former);[3] Galley-La Company (former)[4],Cipher Pol Agent;[5] Shipwright[1][6] (cover)[5],"""Mountain Wind"" (山風, Yamakaze?)[8]",Alive,23 (debut)[9]25 (after timeskip)[10],,Guanhao (former)[7],"Ushi Ushi no Mi, Model: Giraffe",,25,CP0
Paulie,Chapter 323; Episode 230[1],Galley-La Company[2],Vice President of Galley-La[3]; Dock One Foreman[4] (promoted); Shipwright[1][2],,Alive,24 (debut)26 (after timeskip)[5],,Water 7,,,26,Galley-La Company 
Peepley Lulu,Chapter 323; Episode 230[1],Galley-La Company[1],Dock One Foreman;[2] Shipwright[1],,Alive,31 (debut)33 (after timeskip)[3],,Water 7,,,33,Galley-La Company 
Tilestone,Chapter 323; Episode 230[1],Galley-La Company[1],Dock One Foreman[2]; Shipwright[1],,Alive,33 (debut)35 (after timeskip)[3],,Water 7,,,35,Galley-La Company 
Zambai,Chapter 324; Episode 230[1],Franky Family;[1] Galley-La Company[2],Dismantler; Bounty Hunter[1],,Alive,33 (debut)35 (after timeskip)[3],,Water 7,,,35,Franky Family
Kiev,Chapter 325; Episode 231[1],Franky Family; Galley-La Company[2],"Dismantler, Bounty Hunter",,Alive,,,Water 7,,,,Franky Family
Schollzo,Chapter 325; Episode 231[1],Franky Family[1],Dismantler; Bounty Hunter[1],,Alive,,,Water 7,,,,Franky Family 
Tamagon,Chapter 325; Episode 231[1],Franky Family[1]; Galley-La Company[2],Dismantler; Bounty Hunter[1],,Alive,,,Water 7[1],,,,Franky Family 
Kop,Chapter 325; Episode 231[2],Franky Family,"Dismantler, Bounty Hunter",,Alive,,,Water 7,,,,Franky Family
Blueno,Chapter 325; Episode 230[1],CP0;[2] CP9[3] (former),Cipher Pol Agent;[4] Bartender (undercover)[5],,Alive,30 (debut)[6]32 (after timeskip)[7],,,Doa Doa no Mi,,32,CP0
Dirt Boss,Chapter 326 Cover[1],Ukkari Hot-Spring Island; Gedatsu[1],Digger,,Alive,,,Ukkari Hot-Spring Island,,,,Ukkari Hot-Spring Island
Ishigo Shitemanna,Chapter 325; Episode 231[2],,Appraiser[2],,Alive,,,Water 7,,,,
Bimine,Chapter 657 (cover)[1],,Mayor[2],,Alive,,,Pucci[2],,,,
Corgi,Chapter 328;Episode 233[1],World Government[1],Government official[1],,Alive,,,,,,,World Government 
Franky,Chapter 329; Episode 233[1],Straw Hat Pirates;Straw Hat Grand Fleet;Franky Family (former);Tom's Workers (former);Ninja-Pirate-Mink-Samurai Alliance (disbanded),Shipwright; Dismantler; Underworld boss (former);[2] Bounty Hunter (former); Pirate; Senior Officer[3],"""Iron Man"" Franky (""鉄人""フランキー, Tetsujin Furankī?)[7]""Cyborg"" Franky (""鉄人""フランキー, Saibōgu Furankī?)[8][9] (former)",Alive,34 (debut)[11][12]36 (after timeskip)[13][14],"394,000,000[3]94,000,000[7]44,000,000[8]","Water 7 (former);Karakuri Island (former, temporary)",,394000000.0,36,Straw Hat Pirates
Mozu and Kiwi,Chapter 329; Episode 233[1],Franky Family[2],Bartenders;[3] Dismantlers; Bounty Hunters[2],"Square Sisters (スクエアシスターズ, Sukuea Shisutāzu?)[2]",Alive,"19 (Mozu, debut); 21 (Mozu, after timeskip)20 (Kiwi, debut); 22 (Kiwi, after timeskip)[4]",,Water 7,,,22,Franky Family 
Kairiki Destroyers,Chapter 329; Episode 233,Franky Family,Dismantlers; Bounty Hunters,,Alive,,,Water 7,,,,Franky Family
Forest Boss,Chapter 333 cover,Ukkari Hot-Spring Island; Gedatsu,Boss of the Forest,,Alive,,,Ukkari Hot-Spring Island,,,,Ukkari Hot-Spring Island
Kakukaku,Chapter 334; Episode 237[1],,,,Alive,,,Water 7[1],,,,
Kyukyu,"Chapter 334, Episode 237",,Doctor,,Alive,,,Water 7,,,,
Happa Yamao,Chapter 341; Episode 241,,Carpenter; Bandit (former),,Alive,,,Water 7; Pucci (former),,,,
Tom,Chapter 352; Episode 248[1],Tom's Workers[1],Shipwright[1],,Deceased,,,Water 7; Fish-Man Island (former),,,,Tom's Workers 
Jorge,Chapter 353; Episode 248[1],World Government[1],Judge[1],,Alive,,,,,,,World Government 
Spandam,Chapter 355; Episode 249[1],CP0;[2] CP9[3] (former); CP5 (former)[1][4],CP0;[2] CP9 Chief (former);[3] CP5 Chief (former)[1],,Alive,39 (debut)[5]41 (after timeskip)[6],,,,,41,CP0
Bushon,Chapter 361; Episode 251,,Station Manager,,Alive,,,,,,,
Stevie,Chapter 361; Episode 251[2],Water 7[2],Station Manager[2],,Alive,,,,,,,Water 7 
T Bone,Chapter 365; Episode 255[1],Marines[2],Marine Vice Admiral;[3] Marine Rear Admiral (promoted);[4] Marine Captain (promoted);[1] Knight (former)[2],"""Ship Cutter"" (船斬り, Funekiri?, FUNimation: ""Ship Slasher"")[5]",Deceased,51 (debut)[6],Unknown[8],,,,51,Marines 
Jerry,Chapter 362; Episode 253[1],CP6[2],Cipher Pol Agent[2],,Alive,44 (debut)[4]46 (after timeskip)[5],,,,,46,CP6 
Wanze,Chapter 367; Episode 257[1],CP7[2],Cipher Pol Agent;[2] Chef[2],,Alive,26 (debut)[4]28 (after timeskip)[3],,,,,28,CP7 
Nero,Chapter 367; Episode 257[1],CP9[2] (former),Cipher Pol Agent[2] (former),"""Nero the Sea Weasel"" (海イタチのネロ, Umi Itachi no Nero?)[2]",Unknown,20 (debut)[4]22 (after timeskip)[3],,,,,22,CP9   
Funkfreed,Chapter 365; Episode 254,"CP0, CP9 (former)",Spandam's Sword;[1] Pet,,Alive,,,,Zou Zou no Mi[1],,,"CP0, CP9  "
Sodom,Chapter 366; Episode 256,Franky Family,Transportation,,Alive,,,Water 7,,,,Franky Family
Gomorrah,Chapter 366; Episode 256[1],Franky Family[1],Transportation,,Alive,,,Water 7,,,,Franky Family 
Kumadori,Chapter 375; Episode 264[1],CP0;[2] CP9[3] (former),Cipher Pol Agent[3],,Alive,34 (debut)[5]36 (after timeskip)[6],,,,,36,CP0
Jabra,Chapter 375; Episode 264[1],CP0;[2] CP9[3] (former),Cipher Pol Agent[3],,Alive,35 (debut)[5]37 (after timeskip)[6],,Guanhao (former)[4],"Inu Inu no Mi, Model: Wolf[9]",,37,CP0
Fukurou,Chapter 375; Episode 264[1],CP0;[2] CP9[3] (former),Cipher Pol Agent[3],"""Fukurou the Silent"" (音無しのフクロウ, Otonashi no Fukurō?)[5]",Alive,29 (debut)[6]31 (after timeskip)[7],,,,,31,CP0
Oimo,Chapter 377; Episode 265[1],"World Government[1] (defected[2]), Giant Warrior Pirates[3]","Pirate,[3] Gate Guardian[1] (former[2])",,Alive,151 (debut)153 (after timeskip)[4],,ElbafEnies Lobby (former)Water 7 (former),,,153,"World Government   , Giant Warrior Pirates "
Kashii,Chapter 377; Episode 265[2],"World Government[2] (defected[3]), Giant Warrior Pirates[4]","Pirate,[4] Gate Guardian[2] (former[3])",,Alive,154 (debut)156 (after timeskip)[6],,ElbafEnies Lobby (former)Water 7 (former),,,156,"World Government   , Giant Warrior Pirates "
Gatherine,Chapter 379; Episode 266[1],World Government,Waitress,,Alive,,,,,,,World Government
Baskerville,Chapter 379; Episode 267[1],World Government (Enies Lobby)[1],Chief Justices of Enies Lobby[1],"""Three-Headed Baskerville"" (3つ首のバスカビル, Mitsu-Kubi no Basukabiru?)[1]",Unknown,Bas: 48[2]And: 53[2]Kerville: 42[2],,,,,53,World Government   
Watchdog Unit of the Law,Chapter 380; Episode 267[2],World Government[2],Guardians of Enies Lobby[2],,,,,,,,,World Government 
Just Eleven Jurymen,Chapter 384; Episode 271,World Government (Baskerville)[1],"Jury members of the Enies Lobby court, Pirates (former)[1]",,,,,,,,,World Government   
Roji,Chapter 391; Episode 275[1],,Housewife,,Deceased,,,,,,,
Oran,"Chapter 391, Episode 275[1]",,,,Deceased,,,,,,,
Mizuira,"Chapter 391, Episode 275[1]",Ohara,Civilian,,Deceased,,,,,,,Ohara
Clover,Chapter 391; Episode 275[1],Ohara Scholars,Professor and archaeologist of the Tree of Knowledge; Explorer (former)[2],,Deceased,,,,,,,Ohara Scholars
Gram,Chapter 391; Episode 275[1],Ohara Archaeologists[1],Archaeologist[1],,Deceased,,,,,,,Ohara Archaeologists 
Busshiri,Chapter 391; Episode 275[1],Ohara Archaeologists,Archaeologist,,Deceased,,,,,,,Ohara Archaeologists
Hack,Chapter 391; Episode 275[2],Ohara Archaeologists[2],Archaeologist[2],,Deceased,,,,,,,Ohara Archaeologists 
Hocha,Chapter 391; Episode 275[1],Ohara Archaeologists,Archaeologist,,Deceased,,,,,,,Ohara Archaeologists
Rint,Chapter 391; Episode 275[2],Ohara Archaeologists[2],Archaeologist[2],,Deceased,,,,,,,Ohara Archaeologists 
Zadie,Chapter 391; Episode 275[1],Ohara Archaeologists[1],Archaeologist[1],,Deceased,,,,,,,Ohara Archaeologists 
Roche,Chapter 391; Episode 275[2],Ohara Archaeologists[2],Archaeologist,,Deceased,,,,,,,Ohara Archaeologists 
Spandine,Chapter 392; Episode 275[1],CP9 (former)[1],CP9 Chief (former)[1],,Alive,64 (debut)66 (after timeskip)[2],,,,,66,CP9   
Laskey,Chapter 392; Episode 276[2],CP9 (former),Cipher Pol Agent,,Alive,,,,,,,CP9  
Nico Olvia,Chapter 392; Episode 275[1],Ohara Archaeologists,Archaeologist[2],,Deceased,,"79,000,000[3]",,,79000000.0,,Ohara Archaeologists
Jaguar D. Saul,Chapter 392; Episode 275[1],Marines (defected)[2],Vice Admiral (former)[2],,Alive,105 (debut)[3]127 (current)[5],,Elbaf[4],,,127,Marines   
Five Elders,Chapter 233; Episode 151,World Government (World Nobles),Heads of the World Government; World Nobles[1],,,,,,,,,World Government  
Chesskippa,Chapter 398; Episode 278,,Pirate; Captain,"""Chesskippa the Hanger-on""[2] (スネかじりのチェスキッパ, Sunekajiri no Chesukippa?)",Unknown,,Unknown[3],,,,,
Kanezenny,Chapter 398; Episode 278,,Farmer,,Alive,,,,,,,
Nigeratta,Chapter 398; Episode 278[2],,Citizen,,Alive,,,,,,,
Strawberry,Chapter 420; Episode 302[1],Marines[1],Vice Admiral; Rear Admiral (former)[2],,Alive,,,,,,,Marines 
Yamakaji,Chapter 420; Episode 302[1],Marines[1],Vice Admiral[1],,Alive,,,,,,,Marines 
Doberman,Chapter 420; Episode 302[1],Marines,Vice Admiral,,Alive,,,,,,,Marines
Onigumo,Chapter 420; Episode 302[1],Marines[1],Vice Admiral[1],,Alive,,,,,,,Marines 
Momonga,Chapter 420; Episode 302[1],Marines G-1 Branch,Vice Admiral; Base Commander of G-1[2],,Alive,46 (debut)[3]48 (after timeskip)[2],,,,,48,Marines G-1 Branch
Shu,Chapter 426; Episode 309[1],Marines[1],Marine Captain[1],,Alive,,,,Sabi Sabi no Mi,,,Marines 
Very Good,Chapter 426; Episode 309[1],Marines[1],Marine Captain,,Alive,,,,Beri Beri no Mi,,,Marines 
Going Merry,Chapter 41; Episode 17[1],Straw Hat Pirates,,,Destroyed,,,,,,,Straw Hat Pirates
Sharinguru,Chapter 428; Episode 310[1],Marines[1],Marine Captain[1],,Alive,,,,Shari Shari no Mi,,,Marines 
