Name,first,affiliation,occupation,epithet,status,age,bounty,residence,dfname,last_bounty,latest_age,main_crew
Boa Sandersonia,Chapter 516; Episode 409[1],Kuja; Kuja Pirates;[1] Slavery (former)[2],Pirate;[1] Ruler of Amazon Lily; Slave (former),,Alive,28 (debut) 30 (after timeskip)[3],"40,000,000[3]",Amazon Lily,"Hebi Hebi no Mi, Model: Anaconda",40000000.0,30,Kuja
Jinbe,Chapter 528; Episode 430[1],Straw Hat Pirates;[2]Straw Hat Grand Fleet;[3]Sun Pirates[4] (former);Ally of the Big Mom Pirates (former);Seven Warlords of the Sea[5] (former);[6]Ryugu Kingdom[7] (resigned);[8]Impel Down (former);Ninja-Pirate-Mink-Samurai Alliance (disbanded),Pirate; Helmsman; Senior Officer;[3] Captain (former);[9] Warlord of the Sea[5] (former);[6] Soldier[7] (former);[8] Prisoner of the Great Prison (former),"""Knight of the Sea"" Jinbe (海侠のジンベエ, Kaikyō no Jinbē?, English versions: ""First Son of the Sea"")[1]""Boss Jinbe"" (ジンベエ親分, Jinbē Oyabun?)[7]",Alive,44 (debut)[11]46 (after timeskip)[10],"1,100,000,000[3]438,000,000[13]250,000,000[14]76,000,000[15]",Fish-Man District (former),,1100000000.0,46,Straw Hat Pirates
Squard,Chapter 551; Episode 460[1],Maelstrom Spider Pirates; Whitebeard Pirates[1],Pirate; Captain[1],"""Maelstrom Spider"" (大渦蜘蛛, Ō Uzu Gumo?, English versions: Whirl Spider)[1]",Alive,50 (debut);52 (after timeskip)[2],"210,000,000[2]",,,210000000.0,52,Maelstrom Spider Pirates
Izou,Chapter 553; Episode 461[1],Whitebeard Pirates (former);[1] Kozuki Family,16th Division Commander (former);[2] Samurai;[3] Retainer of the Kozuki Family,,Deceased,43 (debut)[7],"510,000,000[8]",Wano Country[4] (Ringo),,510000000.0,43,Whitebeard Pirates  
Little Oars Jr.,Chapter 554; Episode 463[1],Little Pirates;[2] Subordinate of the Whitebeard Pirates[1],Pirate; Captain[1],,Unknown,70 (debut)[2]72 (after timeskip)[3],"550,000,000[2]",,,550000000.0,72,Little Pirates
Curly Dadan,Chapter 440; Episode 324 (mentioned)[1]Chapter 0; Episode 0 (seen)[2],Dadan Family[3],"Mountain Bandit Boss; Caretaker of Monkey D. Luffy, Portgas D. Ace, and Sabo (former)[3]",,Alive,43 (debut)53 (present day debut)55 (after timeskip)[4],"7,800,000[4]",Mt. Colubo,,7800000.0,55,Dadan Family 
Chadros Higelyges,Chapter 581; Episode 490[2],"Caesar Clown (defected),[3] Centaur Patrol Unit[4] (defected); Brownbeard Pirates[2] (disbanded)[5]",Leader of the Centaur Patrol Unit[4] (former); Pirate; Captain [2] (former[5]),"""Brownbeard"" (茶ひげ, Chahige?);""Boss"" (as Centaur Patrol Unit Leader)[4]",Alive,43 (debut)45 (after timeskip)[7],"80,060,000[4]",,,80060000.0,45,"Caesar Clown  ,  Centaur Patrol Unit   "
Bluejam,Chapter 584; Episode 494[1],Bluejam Pirates[1],Pirate; Captain[1],,Unknown,42 (debut)[2],"14,300,000[2]",,,14300000.0,42,Bluejam Pirates 
Sabo,Chapter 583; Episode 494[1],Revolutionary Army;Dadan Family (former);Goa Kingdom (defected),"Chief of Staff (参謀総長, Sanbō Sōchō?) of the Revolutionary Army;[2] Noble (former);[3] Pirate (former); Thief (former); Bandit (former)","""Flame Emperor"" (炎帝, Entei?)[5]",Alive,"10 (Flashback, debut)[1]22 (After timeskip)[6]","602,000,000[8]",Goa Kingdom (former); Mt. Colubo (former); Baltigo (former); Momoiro Island,Mera Mera no Mi,602000000.0,22,Revolutionary Army
Karasu,Chapter 593; Episode 510[1],Revolutionary Army (North Army)[2],North Army Commander of the Revolutionary Army[2],,Alive,45 (debut)47 (after timeskip)[3],"400,000,000[3]",Baltigo (former); Momoiro Island,Susu Susu no Mi,400000000.0,47,Revolutionary Army   
Demaro Black,Chapter 598; Episode 517[1],Fake Straw Hat Crew[1],Pirate; Captain[1],"""Three-Tongued"" Demaro Black (三枚舌のデマロ・ブラック, Sanmai-jita no Demaro Burakku?)(Viz, Funimation: ""Triple-Tongued"")",Alive,36[2],"26,000,000",,,26000000.0,36,Fake Straw Hat Crew 
Caribou,Chapter 600; Episode 519[1],"Caribou Pirates;[2] Fake Straw Hat Crew (former, temporary)[3]",Pirate Captain;[1][2] Kidnapper[4],"""Wet-Haired Caribou"" (濡れ髪のカリブー, Nuregami no Karibū?)[2]",Alive,32[5],"210,000,000[2]",,Numa Numa no Mi,210000000.0,32,Caribou Pirates
Coribou,Chapter 600; Episode 519[1],"Caribou Pirates;[2] Fake Straw Hat Crew (former, temporary)[3][1]",Pirate; Captain[1][2],"""Blood-Splatterer"" Coribou (返り血のコリブー, Kaerichi no Koribū?)[2]",Alive,29[5],"190,000,000[2]",,,190000000.0,29,Caribou Pirates
Pekoms,Chapter 651; Episode 570[1],Big Mom Pirates;[1] Nox Pirates (former)[2],Combatant;[1] Broker[3],,Unknown,27[8],"330,000,000[5]",Zou (former)[6],Kame Kame no Mi,330000000.0,27,Big Mom Pirates
Tamago,Chapter 651; Episode 570[1],Big Mom Pirates[1],Combatant;[1] Broker,"""Baron Tamago"" (タマゴ男爵, Tamago Danshaku?)",Alive,46[2],"429,000,000[4]",Whole Cake Island,Tama Tama no Mi,429000000.0,46,Big Mom Pirates 
Caesar Clown,Chapter 658; Episode 581[1],Germa Kingdom; NEO MADS;[2] Fire Tank Pirates (former);[3] Donquixote Pirates (former);[4][5] Marines and World Government (former);[6] MADS (former)[7],Scientist[6],"""Master"" (M, Masutā?)[1]",Alive,55[10],"300,000,000[12]",Punk Hazard (Third Research Institute)(former),Gasu Gasu no Mi,300000000.0,55,Germa Kingdom
Yeti Cool Brothers,Chapter 665; Episode 591[1],Caesar Clown[1],Mercenaries;[1] Assassins;[2] Snipers,"""Killers of the Snowy Mountain"" (雪山の殺し屋, Yukiyama no Koroshiya?)[1]",Unknown,25[2],"20,000,000 (each)[3]",,,20000000.0,25,Caesar Clown 
Gladius,Chapter 682; Episode 608[1],Donquixote Pirates[1],Pirate Officer[1],,Alive,33[2],"31,000,000[4]",Spider Miles (former); Dressrosa (former),Pamu Pamu no Mi,31000000.0,33,Donquixote Pirates 
Machvise,Chapter 682; Episode 608[2],Donquixote Pirates[1],Pirate Officer[1],,Alive,52[3],"11,000,000[5]",Spider Miles (former); Dressrosa (former),Ton Ton no Mi,11000000.0,52,Donquixote Pirates 
Lao G,Chapter 682; Episode 608[1],Donquixote Pirates[1],Pirate Officer[1],,Alive,70[2],"61,000,000[4]",Spider Miles (former); Dressrosa (former),,61000000.0,70,Donquixote Pirates 
Diamante,Chapter 700; Episode 629[1],Donquixote Pirates[1],Pirate Executive Officer; Colosseum Proprietor (former); Swordsman,,Alive,45[3],"99,000,000[2]",Spider Miles (former)Dressrosa (former),Hira Hira no Mi,99000000.0,45,Donquixote Pirates 
Trebol,Chapter 700; Episode 629[1],Donquixote Pirates[1],Pirate Executive Officer;[1] Staff Officer; Sugar's Bodyguard,,Alive,49[2],"99,000,000[4]",Spider Miles (former)Dressrosa (former),Beta Beta no Mi,99000000.0,49,Donquixote Pirates 
Pica,Chapter 700; Episode 629[1],Donquixote Pirates[1][2],Pirate Executive Officer,,Alive,40[4],"99,000,000[3]",Spider Miles (former)Dressrosa (former),Ishi Ishi no Mi,99000000.0,40,Donquixote Pirates  
Issho,Chapter 701; Episode 630[1],Marines[2][3],Admiral[3],,Alive,54[5],"(3,000,000,000)[6]",,Zushi Zushi no Mi,3000000000.0,54,Marines  
Senor Pink,Chapter 702; Episode 632 [1],Donquixote Pirates[1],Pirate Officer;[1] Assassin[2],,Alive,46[3],"58,000,000[2]",Spider Miles (former); Dressrosa (former),Sui Sui no Mi,58000000.0,46,Donquixote Pirates 
Dellinger,Chapter 702; Episode 632[1],Donquixote Pirates[1],Pirate Officer[1],,Alive,16[2],"15,000,000[4]",Spider Miles (former); Dressrosa (former),,15000000.0,16,Donquixote Pirates 
Kelly Funk,Chapter 704; Episode 633[1],Mogaro Kingdom[2],Assassin[1],,Alive,36[3],"57,000,000[3]",,Jake Jake no Mi,57000000.0,36,Mogaro Kingdom 
Bobby Funk,Chapter 704;[1] Episode 632[2],Mogaro Kingdom[3],Assassin,,Alive,33[4],"36,000,000[4]",,,36000000.0,33,Mogaro Kingdom 
Suleiman,Chapter 704;[1] Episode 632[2],Beautiful Pirates[3]; Underworld (former);Straw Hat Grand Fleet,Pirate;[3] War Criminal; Mercenary (former)[citation needed],"""Suleiman the Beheader"" (首はねスレイマン, Kubi-hane Sureiman?)[1]",Alive,40[5],"67,000,000[5]",,,67000000.0,40,Beautiful Pirates 
Orlumbus,Chapter 704;[1] Episode 632[2],Yonta Maria Grand Fleet;[3] Straw Hat Grand Fleet;[4] Standing Kingdom[5],Captain of the Seventh Ship of the Straw Hat Grand Fleet;[4] Pirate;  Admiral;[6] Adventurer (former),"""Massacre Ruler"" (殺戮支配者, Satsuriku Shihaisha?, Viz: ""Savage Surmounter"")[1]""Made-Up Explorer"" (偽りの冒険野郎, Itsuwari no Bōken Yarō?, Viz: ""Adventurer of Lies"")[1]""Pioneer Explorer"" (開拓冒険家, Kaitaku Bōken-ka?, Viz: ""Adventuring Pioneer"")[7]",Alive,42[8],"148,000,00098,000,000[10]",,,1.4800000098e+16,42,Yonta Maria Grand Fleet
Cavendish,Chapter 704;[1] Episode 632[2],Beautiful Pirates;[3] Straw Hat Grand Fleet;[4] Bourgeois Kingdom[5],Captain of the First Ship of the Straw Hat Grand Fleet;[4] Captain; Prince of the Bourgeois Kingdom (former)[6][5],"""Cavendish of the White Horse"" (白馬のキャベンディッシュ, Hakuba no Kyabendisshu?, Viz: ""White Knight Cavendish"");[3]""Pirate Prince"" (海賊貴公子, Kaizoku Kikōshi?, Viz: ""Pirate Noble""; FUNimation: ""Pirate Nobleman"")[1]",Alive,26[11],"330,000,000[8] 280,000,000[9]",Bourgeois Kingdom (former),,330000000.0,26,Beautiful Pirates
Chinjao,Chapter 704;[1] Episode 632[2],Chinjao Family; Happo Navy; Straw Hat Grand Fleet,12th Leader of the Happo Navy; Pirate (former)[3],"Don Chinjao (首領・チンジャオ, Don Chinjao?);""Chinjao the Drill"" (錐のチンジャオ, Kiri no Chinjao?)[5]",Alive,78[4],"542,000,000[4]",Kano Country,,542000000.0,78,Chinjao Family
Sai,Chapter 704;[1] Episode 632[2],Happo Navy; Chinjao Family; Straw Hat Grand Fleet[3],Captain of the Third Ship of the Straw Hat Grand Fleet;[3] Pirate; 13th Leader of the Happo Navy; Martial Artist (Viz: Fighter)[4],"Don Sai (首領・サイ, Don Sai?)[6]",Alive,28[7],"210,000,000[5]",Kano Country,,210000000.0,28,Happo Navy
Bartolomeo,Chapter 705;[1] Episode 633[2],Barto Club; his own Mafia Family (former);[3] Straw Hat Grand Fleet[4],Captain of the Second Ship of the Straw Hat Grand Fleet;[4] Pirate Captain; Mafia Leader (former)[3],"""Bartolomeo the Cannibal"" (人食いのバルトロメオ, Hitokui no Barutoromeo?, Viz: ""Man-Eater Bartolomeo"")[6]",Alive,24[5][7],"200,000,000[9]150,000,000[10]",,Bari Bari no Mi,200000000.0,24,Barto Club
Jack,Chapter 801; Episode 746[1],Beasts Pirates[2],All-Star;[3] Captain of the Mammoth;[2] De Facto Ruler of Kuri (former)[4],"""Jack the Drought"" (旱害のジャック, Kangai no Jakku?)[2]",Alive,28[5],"1,000,000,000[7]",Wano Country[4],"Zou Zou no Mi, Model: Mammoth",1000000000.0,28,Beasts Pirates 
Edward Weevil,Chapter 802; Episode 751[1],Seven Warlords of the Sea[2] (former)[3],Pirate,,Alive,35[5],"480,000,000[2]",,,480000000.0,35,Seven Warlords of the Sea    
Morley,Chapter 904; Episode 880[1],Revolutionary Army (West Army)[2],West Army Commander of the Revolutionary Army;[2] Pirate (former); Prisoner of Impel Down (former)[3],"""Morley of Fur"" (毛皮のモーリー, Kegawa no Mōrī?)[4]",Alive,160[3],"293,000,000[4]",Baltigo (former); Momoiro Island,Oshi Oshi no Mi,293000000.0,160,Revolutionary Army   
Vito,Chapter 812; Episode 763[1],Fire Tank Pirates[2],"Pirate, Advisor;[2] Mafia gangster (former)","""Monster Gun"" (怪銃, Kaijū?, Viz: ""Phantom Gun"")[2]",Alive,36[3],"95,000,000[3]",,,95000000.0,36,Fire Tank Pirates 
Gotti,Chapter 825; Episode 783[1],Fire Tank Pirates[2],"Pirate, Assassin,[2] Combatant[3]",,Alive,33[3],"90,000,000[3]",,,90000000.0,33,Fire Tank Pirates 
Charlotte Mont-d'Or,Chapter 829; Episode 789[2],Charlotte Family;[3] Big Mom Pirates[4],Pirate Officer;[5] Minister of Cheese[3],"""Scribe"" (書司, Shoshi?, Viz: ""Book-Keeper"")[4]",Alive,38[6],"120,000,000[7]",Cheese Island[3],Buku Buku no Mi,120000000.0,38,Charlotte Family
Charlotte Perospero,Chapter 834; Episode 795[2],Charlotte Family;[3] Big Mom Pirates[4],Pirate Officer;[4] Minister of Candy[3],,Alive,50[7],"700,000,000[6]",Candy Island[3],Pero Pero no Mi,700000000.0,50,Charlotte Family
Charlotte Cracker,Chapter 835;[1] Episode 796[2],Charlotte Family; Big Mom Pirates[3],Sweet Commander; Minister of Biscuit[3],"""Thousand Arms Cracker"" (千手のクラッカー, Senju no Kurakkā?)[4]""Biscuit Knight"" (ビスケットの騎士, Bisuketto no Kishi?)[5]",Alive,45[6],"860,000,000[4]",Biscuits Island[3],Bisu Bisu no Mi,860000000.0,45,Charlotte Family
Charlotte Lola,Chapter 476; Episode 370[1],Rolling Pirates; Charlotte Family;[2] Thriller Bark Victim's Association (former),Pirate; Captain; Minister of Chocolate (former)[3],"""Marriage Proposal Lola"" (求婚のローラ, Kyūkon no Rōra?)",Alive,24 (debut)26 (after timeskip)[6],"24,000,000[5]",Cacao Island (former)[3],,24000000.0,26,Rolling Pirates
Charlotte Smoothie,Chapter 846; Episode 812[1],Charlotte Family;[1] Big Mom Pirates[2],Sweet Commander;[2] Minister of Juice[1],,Alive,35[4],"932,000,000[1]",100% Island[3],Shibo Shibo no Mi,932000000.0,35,Charlotte Family
Charlotte Katakuri,Chapter 860;[1] Episode 825[2],Charlotte Family;[3] Big Mom Pirates[4],Sweet Commander;[4] Minister of Flour[5],,Alive,48[5],"1,057,000,000[3]",Komugi Island[5],Mochi Mochi no Mi,1057000000.0,48,Charlotte Family
Charlotte Daifuku,Chapter 861; Episode 826[1],Charlotte Family;[1] Big Mom Pirates[2],Pirate Officer;[2] Minister of Beans[3],,Alive,48[4],"300,000,000[6]",Poripori Island[3][4],Hoya Hoya no Mi,300000000.0,48,Charlotte Family
Charlotte Oven,Chapter 861;[1] Episode 827[2],Charlotte Family;[1] Big Mom Pirates[3],Pirate Officer;[3] Minister of Browned Food[4],,Alive,48[5],"300,000,000[7]",Yakigashi Island[5],Netsu Netsu no Mi,300000000.0,48,Charlotte Family
Charlotte Snack,Chapter 894;[1] Episode 798[2] (silhouette),Charlotte Family;[1] Big Mom Pirates[3],Pirate Officer;[4] Minister of Fries;[5] Sweet Commander (former),,Alive,30[5],"600,000,000[1]",Potato Island[5],,600000000.0,30,Charlotte Family
Belo Betty,Chapter 904; Episode 880[1],Revolutionary Army (East Army)[1],East Army Commander of the Revolutionary Army[1],,Alive,34[2],"457,000,000[2]",Baltigo (former); Momoiro Island,Kobu Kobu no Mi,457000000.0,34,Revolutionary Army   
Lindbergh,Chapter 904; Episode 880[1],Revolutionary Army (South Army)[2],South Army Commander of the Revolutionary Army[2],,Alive,37[3],"316,000,000[3]",Baltigo (former); Momoiro Island,,316000000.0,37,Revolutionary Army   
King,Chapter 920; Episode 910 (silhouette);[1] Chapter 925; Episode 918[2],Beasts Pirates[2],All-Star[2],"""King the Conflagration"" (火災のキング, Kasai no Kingu?, VIZ: ""King the Wildfire"")[2]",Alive,47[4],"1,390,000,000[4]",Wano Country[2],"Ryu Ryu no Mi, Model: Pteranodon",1390000000.0,47,Beasts Pirates 
Queen,Chapter 920; Episode 910 (silhouette);[1] Chapter 925; Episode 918[2],Beasts Pirates;[2] MADS (former)[3],All-Star;[2] Scientist;[4] De Facto Ruler of Udon (former)[5],"""Queen the Plague"" (疫災のクイーン, Ekisai no Kuīn?)[2]",Alive,56[6],"1,320,000,000[7]",Wano Country (Onigashima)[2],"Ryu Ryu no Mi, Model: Brachiosaurus",1320000000.0,56,Beasts Pirates
Page One,Chapter 929; Episode 923[1],Beasts Pirates (Tobiroppo)[1],Shinuchi[1],,Alive,20[3],"290,000,000[2]",Wano Country[1],"Ryu Ryu no Mi, Model: Spinosaurus",290000000.0,20,Beasts Pirates   
Ulti,Chapter 977; Episode 982[1],Beasts Pirates (Tobiroppo),Shinuchi,,Alive,22[3],"400,000,000[2]",,"Ryu Ryu no Mi, Model: Pachycephalosaurus",400000000.0,22,Beasts Pirates  
Who's-Who,Chapter 977;[1] Episode 954 (silhouette);[2] Episode 982 (actual)[1],Beasts Pirates (Tobiroppo); Who's-Who Pirates (former);[3] CP9 (former);[4],Shinuchi; Pirate; Captain  (former);[5] Prisoner (former); Cipher Pol Agent (former)[4],"""Who of the Droplets"" (飛沫のフー, Shibuki no Fū?)[3]",Alive,38[7],"546,000,000[3]",Onigashima[6],"Neko Neko no Mi, Model: Saber Tiger",546000000.0,38,Beasts Pirates  
Black Maria,Chapter 977; Episode 982[1],Beasts Pirates (Tobiroppo),Shinuchi; Brothel owner[2],,Alive,29[4],"480,000,000[3]",Onigashima[2],"Kumo Kumo no Mi, Model: Rosamygale Grauvogeli",480000000.0,29,Beasts Pirates  
Sasaki,Chapter 977;[1] Episode 954 (silhouette);[2] Episode 982 (actual)[1],Beasts Pirates (Tobiroppo); Sasaki Pirates (former)[3],Shinuchi; Pirate; Captain (former)[4],"""Overflowing Sasaki"" (盛っ切りのササキ, Mokkiri no Sasaki?)[3]",Alive,34[5],"472,000,000[3]",,"Ryu Ryu no Mi, Model: Triceratops",472000000.0,34,Beasts Pirates  
Adio Suerte,One Piece Odyssey;[1] Chapter 1053 (cover)[2],,Adventurer[3],"Master of the Gun (拳銃の達人, Kenjū no Tatsujin?)[4]",Unknown,45[5],"2,009,430,000[1]",Waford,Kote Kote no Mi,2009430000.0,45,
